VALUE,KGM3_X_100,KGM3,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,Fill-NoData,255,255,255,1,1,1
0,Non-Forested,Non-Forested,0,0,0,0,0,0
1,CBD = 01 kg/m^3 X 100,CBD = 0.01 kg/m^3,190,255,232,0.745098,1,0.909804
2,CBD = 02 kg/m^3 X 100,CBD = 0.02 kg/m^3,182,248,230,0.713725,0.972549,0.901961
3,CBD = 03 kg/m^3 X 100,CBD = 0.03 kg/m^3,178,244,228,0.698039,0.956863,0.894118
4,CBD = 04 kg/m^3 X 100,CBD = 0.04 kg/m^3,174,240,227,0.682353,0.941176,0.890196
5,CBD = 05 kg/m^3 X 100,CBD = 0.05 kg/m^3,169,236,225,0.662745,0.92549,0.882353
6,CBD = 06 kg/m^3 X 100,CBD = 0.06 kg/m^3,165,232,224,0.647059,0.909804,0.878431
7,CBD = 07 kg/m^3 X 100,CBD = 0.07 kg/m^3,161,228,223,0.631373,0.894118,0.87451
8,CBD = 08 kg/m^3 X 100,CBD = 0.08 kg/m^3,157,224,221,0.615686,0.878431,0.866667
9,CBD = 09 kg/m^3 X 100,CBD = 0.09 kg/m^3,152,220,220,0.596078,0.862745,0.862745
10,CBD = 10 kg/m^3 X 100,CBD = 0.1 kg/m^3,148,216,218,0.580392,0.847059,0.854902
11,CBD = 11 kg/m^3 X 100,CBD = 0.11 kg/m^3,144,212,217,0.564706,0.831373,0.85098
12,CBD = 12 kg/m^3 X 100,CBD = 0.12 kg/m^3,140,208,215,0.54902,0.815686,0.843137
13,CBD = 13 kg/m^3 X 100,CBD = 0.13 kg/m^3,136,204,214,0.533333,0.8,0.839216
14,CBD = 14 kg/m^3 X 100,CBD = 0.14 kg/m^3,131,200,213,0.513725,0.784314,0.835294
15,CBD = 15 kg/m^3 X 100,CBD = 0.15 kg/m^3,127,196,211,0.498039,0.768627,0.827451
16,CBD = 16 kg/m^3 X 100,CBD = 0.16 kg/m^3,123,192,210,0.482353,0.752941,0.823529
17,CBD = 17 kg/m^3 X 100,CBD = 0.17 kg/m^3,119,188,208,0.466667,0.737255,0.815686
18,CBD = 18 kg/m^3 X 100,CBD = 0.18 kg/m^3,114,184,207,0.447059,0.721569,0.811765
19,CBD = 19 kg/m^3 X 100,CBD = 0.19 kg/m^3,110,180,205,0.431373,0.705882,0.803922
20,CBD = 20 kg/m^3 X 100,CBD = 0.2 kg/m^3,106,176,204,0.415686,0.690196,0.8
21,CBD = 21 kg/m^3 X 100,CBD = 0.21 kg/m^3,102,172,203,0.4,0.67451,0.796078
22,CBD = 22 kg/m^3 X 100,CBD = 0.22 kg/m^3,98,168,201,0.384314,0.658824,0.788235
23,CBD = 23 kg/m^3 X 100,CBD = 0.23 kg/m^3,93,165,200,0.364706,0.647059,0.784314
24,CBD = 24 kg/m^3 X 100,CBD = 0.24 kg/m^3,89,161,198,0.34902,0.631373,0.776471
25,CBD = 25 kg/m^3 X 100,CBD = 0.25 kg/m^3,85,157,197,0.333333,0.615686,0.772549
26,CBD = 26 kg/m^3 X 100,CBD = 0.26 kg/m^3,81,153,196,0.317647,0.6,0.768627
27,CBD = 27 kg/m^3 X 100,CBD = 0.27 kg/m^3,76,149,194,0.298039,0.584314,0.760784
28,CBD = 28 kg/m^3 X 100,CBD = 0.28 kg/m^3,72,145,193,0.282353,0.568627,0.756863
29,CBD = 29 kg/m^3 X 100,CBD = 0.29 kg/m^3,68,141,191,0.266667,0.552941,0.74902
30,CBD = 30 kg/m^3 X 100,CBD = 0.3 kg/m^3,64,137,190,0.25098,0.537255,0.745098
31,CBD = 31 kg/m^3 X 100,CBD = 0.31 kg/m^3,60,133,188,0.235294,0.521569,0.737255
32,CBD = 32 kg/m^3 X 100,CBD = 0.32 kg/m^3,55,129,187,0.215686,0.505882,0.733333
33,CBD = 33 kg/m^3 X 100,CBD = 0.33 kg/m^3,51,125,186,0.2,0.490196,0.729412
34,CBD = 34 kg/m^3 X 100,CBD = 0.34 kg/m^3,47,121,184,0.184314,0.47451,0.721569
35,CBD = 35 kg/m^3 X 100,CBD = 0.35 kg/m^3,43,117,183,0.168627,0.458824,0.717647
36,CBD = 36 kg/m^3 X 100,CBD = 0.36 kg/m^3,38,113,181,0.14902,0.443137,0.709804
37,CBD = 37 kg/m^3 X 100,CBD = 0.37 kg/m^3,34,109,180,0.133333,0.427451,0.705882
38,CBD = 38 kg/m^3 X 100,CBD = 0.38 kg/m^3,30,105,178,0.117647,0.411765,0.698039
39,CBD = 39 kg/m^3 X 100,CBD = 0.39 kg/m^3,26,101,177,0.101961,0.396078,0.694118
40,CBD = 40 kg/m^3 X 100,CBD = 0.4 kg/m^3,22,97,176,0.086275,0.380392,0.690196
41,CBD = 41 kg/m^3 X 100,CBD = 0.41 kg/m^3,17,93,174,0.066667,0.364706,0.682353
42,CBD = 42 kg/m^3 X 100,CBD = 0.42 kg/m^3,13,89,173,0.05098,0.34902,0.678431
43,CBD = 43 kg/m^3 X 100,CBD = 0.43 kg/m^3,9,85,171,0.035294,0.333333,0.670588
44,CBD = 44 kg/m^3 X 100,CBD = 0.44 kg/m^3,5,81,170,0.019608,0.317647,0.666667
45,CBD >= 45 kg/m^3 X 100,CBD >= 0.45 kg/m^3,0,77,168,0,0.301961,0.658824
