VALUE,MetersX10,Meters,R,G,B,RED,GREEN,BLUE
-9999,Fill-NoData,Fill-NoData,255,255,255,1,1,1
0,Non-Forested,Non-Forested,0,0,0,0,0,0
1,CBH = 01 meters X 10,CBH = 00.1 meters,255,170,0,1,0.666667,0
2,CBH = 02 meters X 10,CBH = 00.2 meters,250,169,5,0.980392,0.662745,0.019608
3,CBH = 03 meters X 10,CBH = 00.3 meters,248,168,7,0.972549,0.658824,0.027451
4,CBH = 04 meters X 10,CBH = 00.4 meters,245,167,10,0.960784,0.654902,0.039216
5,CBH = 05 meters X 10,CBH = 00.5 meters,243,167,12,0.952941,0.654902,0.047059
6,CBH = 06 meters X 10,CBH = 00.6 meters,240,166,14,0.941176,0.65098,0.054902
7,CBH = 07 meters X 10,CBH = 00.7 meters,238,165,17,0.933333,0.647059,0.066667
8,CBH = 08 meters X 10,CBH = 00.8 meters,235,164,19,0.921569,0.643137,0.07451
9,CBH = 09 meters X 10,CBH = 00.9 meters,233,163,21,0.913725,0.639216,0.082353
10,CBH = 10 meters X 10,CBH = 01 meters,230,163,23,0.901961,0.639216,0.090196
11,CBH = 11 meters X 10,CBH = 01.1 meters,227,162,26,0.890196,0.635294,0.101961
12,CBH = 12 meters X 10,CBH = 01.2 meters,225,161,28,0.882353,0.631373,0.109804
13,CBH = 13 meters X 10,CBH = 01.3 meters,222,160,30,0.870588,0.627451,0.117647
14,CBH = 14 meters X 10,CBH = 01.4 meters,220,160,33,0.862745,0.627451,0.129412
15,CBH = 15 meters X 10,CBH = 01.5 meters,217,159,35,0.85098,0.623529,0.137255
16,CBH = 16 meters X 10,CBH = 01.6 meters,215,158,37,0.843137,0.619608,0.145098
17,CBH = 17 meters X 10,CBH = 01.7 meters,212,157,40,0.831373,0.615686,0.156863
18,CBH = 18 meters X 10,CBH = 01.8 meters,210,156,42,0.823529,0.611765,0.164706
19,CBH = 19 meters X 10,CBH = 01.9 meters,207,156,44,0.811765,0.611765,0.172549
20,CBH = 20 meters X 10,CBH = 02 meters,204,155,46,0.8,0.607843,0.180392
21,CBH = 21 meters X 10,CBH = 02.1 meters,202,154,49,0.792157,0.603922,0.192157
22,CBH = 22 meters X 10,CBH = 02.2 meters,199,153,51,0.780392,0.6,0.2
23,CBH = 23 meters X 10,CBH = 02.3 meters,197,153,53,0.772549,0.6,0.207843
24,CBH = 24 meters X 10,CBH = 02.4 meters,194,152,56,0.760784,0.596078,0.219608
25,CBH = 25 meters X 10,CBH = 02.5 meters,192,151,58,0.752941,0.592157,0.227451
26,CBH = 26 meters X 10,CBH = 02.6 meters,189,150,60,0.741176,0.588235,0.235294
27,CBH = 27 meters X 10,CBH = 02.7 meters,187,149,63,0.733333,0.584314,0.247059
28,CBH = 28 meters X 10,CBH = 02.8 meters,184,149,65,0.721569,0.584314,0.254902
29,CBH = 29 meters X 10,CBH = 02.9 meters,182,148,67,0.713725,0.580392,0.262745
30,CBH = 30 meters X 10,CBH = 03 meters,179,147,69,0.701961,0.576471,0.270588
31,CBH = 31 meters X 10,CBH = 03.1 meters,176,146,72,0.690196,0.572549,0.282353
32,CBH = 32 meters X 10,CBH = 03.2 meters,174,146,74,0.682353,0.572549,0.290196
33,CBH = 33 meters X 10,CBH = 03.3 meters,171,145,76,0.670588,0.568627,0.298039
34,CBH = 34 meters X 10,CBH = 03.4 meters,169,144,79,0.662745,0.564706,0.309804
35,CBH = 35 meters X 10,CBH = 03.5 meters,166,143,81,0.65098,0.560784,0.317647
36,CBH = 36 meters X 10,CBH = 03.6 meters,164,142,83,0.643137,0.556863,0.32549
37,CBH = 37 meters X 10,CBH = 03.7 meters,161,142,86,0.631373,0.556863,0.337255
38,CBH = 38 meters X 10,CBH = 03.8 meters,159,141,88,0.623529,0.552941,0.345098
39,CBH = 39 meters X 10,CBH = 03.9 meters,156,140,90,0.611765,0.54902,0.352941
40,CBH = 40 meters X 10,CBH = 04 meters,153,139,92,0.6,0.545098,0.360784
41,CBH = 41 meters X 10,CBH = 04.1 meters,151,139,95,0.592157,0.545098,0.372549
42,CBH = 42 meters X 10,CBH = 04.2 meters,148,138,97,0.580392,0.541176,0.380392
43,CBH = 43 meters X 10,CBH = 04.3 meters,146,137,99,0.572549,0.537255,0.388235
44,CBH = 44 meters X 10,CBH = 04.4 meters,143,136,102,0.560784,0.533333,0.4
45,CBH = 45 meters X 10,CBH = 04.5 meters,141,135,104,0.552941,0.529412,0.407843
46,CBH = 46 meters X 10,CBH = 04.6 meters,138,135,106,0.541176,0.529412,0.415686
47,CBH = 47 meters X 10,CBH = 04.7 meters,136,134,109,0.533333,0.52549,0.427451
48,CBH = 48 meters X 10,CBH = 04.8 meters,133,133,111,0.521569,0.521569,0.435294
49,CBH = 49 meters X 10,CBH = 04.9 meters,131,132,113,0.513725,0.517647,0.443137
50,CBH = 50 meters X 10,CBH = 05 meters,128,131,115,0.501961,0.513725,0.45098
51,CBH = 51 meters X 10,CBH = 05.1 meters,125,131,118,0.490196,0.513725,0.462745
52,CBH = 52 meters X 10,CBH = 05.2 meters,123,130,120,0.482353,0.509804,0.470588
53,CBH = 53 meters X 10,CBH = 05.3 meters,120,129,122,0.470588,0.505882,0.478431
54,CBH = 54 meters X 10,CBH = 05.4 meters,118,128,125,0.462745,0.501961,0.490196
55,CBH = 55 meters X 10,CBH = 05.5 meters,115,128,127,0.45098,0.501961,0.498039
56,CBH = 56 meters X 10,CBH = 05.6 meters,113,127,129,0.443137,0.498039,0.505882
57,CBH = 57 meters X 10,CBH = 05.7 meters,110,126,132,0.431373,0.494118,0.517647
58,CBH = 58 meters X 10,CBH = 05.8 meters,108,125,134,0.423529,0.490196,0.52549
59,CBH = 59 meters X 10,CBH = 05.9 meters,105,124,136,0.411765,0.486275,0.533333
60,CBH = 60 meters X 10,CBH = 06 meters,102,124,138,0.4,0.486275,0.541176
61,CBH = 61 meters X 10,CBH = 06.1 meters,100,123,141,0.392157,0.482353,0.552941
62,CBH = 62 meters X 10,CBH = 06.2 meters,97,122,143,0.380392,0.478431,0.560784
63,CBH = 63 meters X 10,CBH = 06.3 meters,95,121,145,0.372549,0.47451,0.568627
64,CBH = 64 meters X 10,CBH = 06.4 meters,92,121,148,0.360784,0.47451,0.580392
65,CBH = 65 meters X 10,CBH = 06.5 meters,90,120,150,0.352941,0.470588,0.588235
66,CBH = 66 meters X 10,CBH = 06.6 meters,87,119,152,0.341176,0.466667,0.596078
67,CBH = 67 meters X 10,CBH = 06.7 meters,85,118,155,0.333333,0.462745,0.607843
68,CBH = 68 meters X 10,CBH = 06.8 meters,82,117,157,0.321569,0.458824,0.615686
69,CBH = 69 meters X 10,CBH = 06.9 meters,80,117,159,0.313725,0.458824,0.623529
70,CBH = 70 meters X 10,CBH = 07 meters,77,116,161,0.301961,0.454902,0.631373
71,CBH = 71 meters X 10,CBH = 07.1 meters,74,115,164,0.290196,0.45098,0.643137
72,CBH = 72 meters X 10,CBH = 07.2 meters,72,114,166,0.282353,0.447059,0.65098
73,CBH = 73 meters X 10,CBH = 07.3 meters,69,114,168,0.270588,0.447059,0.658824
74,CBH = 74 meters X 10,CBH = 07.4 meters,67,113,171,0.262745,0.443137,0.670588
75,CBH = 75 meters X 10,CBH = 07.5 meters,64,112,173,0.25098,0.439216,0.678431
76,CBH = 76 meters X 10,CBH = 07.6 meters,62,111,175,0.243137,0.435294,0.686275
77,CBH = 77 meters X 10,CBH = 07.7 meters,59,110,178,0.231373,0.431373,0.698039
78,CBH = 78 meters X 10,CBH = 07.8 meters,57,110,180,0.223529,0.431373,0.705882
79,CBH = 79 meters X 10,CBH = 07.9 meters,54,109,182,0.211765,0.427451,0.713725
80,CBH = 80 meters X 10,CBH = 08 meters,51,108,184,0.2,0.423529,0.721569
81,CBH = 81 meters X 10,CBH = 08.1 meters,49,107,187,0.192157,0.419608,0.733333
82,CBH = 82 meters X 10,CBH = 08.2 meters,46,107,189,0.180392,0.419608,0.741176
83,CBH = 83 meters X 10,CBH = 08.3 meters,44,106,191,0.172549,0.415686,0.74902
84,CBH = 84 meters X 10,CBH = 08.4 meters,41,105,194,0.160784,0.411765,0.760784
85,CBH = 85 meters X 10,CBH = 08.5 meters,39,104,196,0.152941,0.407843,0.768627
86,CBH = 86 meters X 10,CBH = 08.6 meters,36,103,198,0.141176,0.403922,0.776471
87,CBH = 87 meters X 10,CBH = 08.7 meters,34,103,201,0.133333,0.403922,0.788235
88,CBH = 88 meters X 10,CBH = 08.8 meters,31,102,203,0.121569,0.4,0.796078
89,CBH = 89 meters X 10,CBH = 08.9 meters,29,101,205,0.113725,0.396078,0.803922
90,CBH = 90 meters X 10,CBH = 09 meters,26,100,207,0.101961,0.392157,0.811765
91,CBH = 91 meters X 10,CBH = 09.1 meters,23,100,210,0.090196,0.392157,0.823529
92,CBH = 92 meters X 10,CBH = 09.2 meters,21,99,212,0.082353,0.388235,0.831373
93,CBH = 93 meters X 10,CBH = 09.3 meters,18,98,214,0.070588,0.384314,0.839216
94,CBH = 94 meters X 10,CBH = 09.4 meters,16,97,217,0.062745,0.380392,0.85098
95,CBH = 95 meters X 10,CBH = 09.5 meters,13,96,219,0.05098,0.376471,0.858824
96,CBH = 96 meters X 10,CBH = 09.6 meters,11,96,221,0.043137,0.376471,0.866667
97,CBH = 97 meters X 10,CBH = 09.7 meters,8,95,224,0.031373,0.372549,0.878431
98,CBH = 98 meters X 10,CBH = 09.8 meters,6,94,226,0.023529,0.368627,0.886275
99,CBH = 99 meters X 10,CBH = 09.9 meters,3,93,228,0.011765,0.364706,0.894118
100,CBH >= 100 meters X 10,CBH >= 10 meters,0,92,230,0,0.360784,0.901961
