VALUE,EVH,CLASSNAMES,R,G,B,RED,GREEN,BLUE
-9999,-9999,Fill-NoData,255,255,255,1,1,1
11,11,Open Water,0,0,255,0,0,1
12,12,Snow/Ice,159,161,240,0.623529,0.631373,0.941176
13,13,Developed-Upland Deciduous Forest,64,61,168,0.25098,0.239216,0.658824
14,14,Developed-Upland Evergreen Forest,68,79,137,0.266667,0.309804,0.537255
15,15,Developed-Upland Mixed Forest,102,119,205,0.4,0.466667,0.803922
16,16,Developed-Upland Herbaceous,122,142,245,0.478431,0.556863,0.960784
17,17,Developed-Upland Shrubland,158,170,215,0.619608,0.666667,0.843137
18,18,Developed-Herbaceous Wetland Vegetation,52,52,52,0.203922,0.203922,0.203922
19,19,Developed-Woody Wetland Vegetation,52,52,52,0.203922,0.203922,0.203922
20,20,Developed-General,255,235,224,1,0.921569,0.878431
21,21,Developed-Open,253,204,211,0.992157,0.8,0.827451
22,22,Developed-Low Intensity,255,122,143,1,0.478431,0.560784
23,23,Developed-Medium Intensity,253,44,79,0.992157,0.172549,0.309804
24,24,Developed-High Intensity,173,0,28,0.678431,0,0.109804
25,25,Developed-Roads,1,1,1,0.003922,0.003922,0.003922
31,31,Barren,191,191,191,0.74902,0.74902,0.74902
32,32,Quarries-Strip Mines-Gravel Pits,230,232,250,0.901961,0.909804,0.980392
60,60,Orchard,210,28,94,0.823529,0.109804,0.368627
61,61,NASS-Vineyard,168,0,132,0.658824,0,0.517647
62,62,Bush fruit,210,28,119,0.823529,0.109804,0.466667
63,63,NASS-Row Crop-Close Grown Crop,255,245,140,1,0.960784,0.54902
64,64,NASS-Row Crop,250,255,119,0.980392,1,0.466667
65,65,NASS-Close Grown Crop,255,237,119,1,0.929412,0.466667
66,66,Fallow/Idle,255,255,119,1,1,0.466667
68,68,NASS-Wheat,250,227,163,0.980392,0.890196,0.639216
69,69,NASS-Aquaculture,210,255,237,0.823529,1,0.929412
75,75,Herbaceous Semi-dry,127,56,255,0.498039,0.219608,1
76,76,Herbaceous Semi-wet,127,56,255,0.498039,0.219608,1
80,80,Agriculture,233,115,255,0.913725,0.45098,1
81,81,Pasture/Hay,255,255,156,1,1,0.611765
82,82,Cultivated Crops,255,255,120,1,1,0.470588
83,83,Small Grains,255,255,84,1,1,0.329412
84,84,Fallow Idle Crop,255,255,43,1,1,0.168627
95,95,Herbaceous Wetlands,127,143,255,0.498039,0.560784,1
100,100,Sparse Vegetation Height,122,127,117,0.478431,0.498039,0.458824
425,425,Herb Height 0 - <0.5 meters,255,204,102,1,0.8,0.4
475,475,Herb Height 0.5 - <1.0 meters,255,153,51,1,0.6,0.2
499,499,Herb Height - <1.0 meter,255,102,0,1,0.4,0
502,502,Shrub Height 0 - <0.5 meters,194,163,83,0.760784,0.639216,0.32549
507,507,Shrub Height 0.5 - <1.0 meter,176,128,60,0.690196,0.501961,0.235294
520,520,Shrub Height 1.0 - <3.0 meters,158,95,40,0.619608,0.372549,0.156863
530,530,Shrub Height - <3.0 meters,117,35,0,0.458824,0.137255,0
603,603,Forest Height 1.8 - <5 meters,204,255,204,0.8,1,0.8
607,607,Forest Height 5 - <9 meters,192,252,189,0.752941,0.988235,0.741176
611,611,Forest Height 9 - <13 meters,176,247,171,0.690196,0.968627,0.670588
615,615,Forest Height 13 - <17 meters,164,245,157,0.643137,0.960784,0.615686
619,619,Forest Height 17 - <21 meters,150,240,141,0.588235,0.941176,0.552941
623,623,Forest Height 21 - <25 meters,135,235,124,0.529412,0.921569,0.486275
627,627,Forest Height 25 - <29 meters,123,232,111,0.482353,0.909804,0.435294
631,631,Forest Height 29 - <33 meters,106,227,95,0.415686,0.890196,0.372549
635,635,Forest Height 33 - <37 meters,94,222,82,0.368627,0.870588,0.321569
639,639,Forest Height 37 - <41 meters,77,217,67,0.301961,0.85098,0.262745
643,643,Forest Height 41 - <45 meters,62,214,51,0.243137,0.839216,0.2
647,647,Forest Height 45 - <=49 meters,41,209,36,0.160784,0.819608,0.141176
651,651,Forest Height >=50 meters,14,204,14,0.054902,0.8,0.054902
